ID,FamilyType,StartX,StartY,EndX,EndY,Width
1,400x600,4428.325,740.899,4431.325,740.899,0.4000000002042725
2,199x600,4428.325,737.134,4431.125,737.134,0.1999999999999318
3,399x600,4430.425,735.315,4431.325,735.315,0.39999999999997726
4,200x600,4428.325,735.263,4430.425,735.263,0.20000000000004547
5,199x600,4429.45,735.349,4429.45,737.049,0.1999999999998181
6,399x600,4430.625,732.509,4430.625,735.149,0.3999999999987267
7,400x600,4428.525,732.509,4430.325,732.509,0.4000000333753633
8,400x600,4428.325,732.309,4428.325,733.099,0.40000000004147296
9,200x600,4428.225,733.599,4428.225,737.049,0.20000000000254659
10,200x600,4428.211,737.649,4428.211,740.499,0.20000000000254659
11,200x600,4424.125,737.784,4428.125,737.784,0.20000000000004547
12,399x600,4424.125,740.899,4428.125,740.899,0.3999999999969077
13,200x600,4425.725,736.649,4428.125,736.649,0.2000000000006139
14,200x600,4425.225,736.749,4425.225,737.699,0.2000000000007276
15,199x600,4425.225,733.599,4425.225,736.549,0.1999999999989086
16,200x600,4424.016,736.749,4424.016,740.499,0.2000000000007276
17,200x600,4421.625,736.669,4425.125,736.669,0.2000000000006139
18,200x600,4422.775,737.799,4423.925,737.799,0.20000000000004547
19,199x600,4422.775,739.099,4423.925,739.099,0.1999999999999318
20,200x600,4422.682,736.749,4422.682,740.499,0.2000000000007276
21,399x600,4422.775,740.899,4423.925,740.899,0.39999999999668034
22,399x600,4420.475,740.899,4422.575,740.899,0.39999999999668034
23,200x600,4420.475,737.949,4422.575,737.949,0.20000000000015916
24,200x600,4417.925,736.669,4421.425,736.669,0.20000000000084128
25,199x600,4420.367,736.749,4420.367,740.499,0.1999999999998181
26,199x600,4419.125,739.099,4420.275,739.099,0.1999999999999318
27,200x600,4419.125,737.799,4420.275,737.799,0.20000000000004547
28,199x600,4419.034,736.749,4419.034,740.499,0.1999999999998181
29,399x600,4419.125,740.899,4420.275,740.899,0.39999999999668034
30,399x600,4414.924,740.899,4418.925,740.899,0.3999999999963393
31,399x600,4411.725,740.899,4414.724,740.899,0.3999999999961119
32,200x600,4414.839,737.649,4414.839,740.499,0.2000000000016371
33,200x600,4414.925,737.784,4418.925,737.784,0.20000000000004547
34,200x600,4419.125,737.799,4420.275,737.799,0.20000000000004547
35,199x600,4417.825,736.749,4417.825,737.699,0.1999999999998181
36,200x600,4425.225,733.099,4425.225,733.599,0.2000000000343789
37,199x600,4422.775,739.099,4423.925,739.099,0.1999999999999318
38,200x600,4422.775,737.799,4423.925,737.799,0.20000000000004547
39,200x600,4421.525,733.099,4421.525,733.599,0.2000000000361979
40,199x600,4417.845,733.599,4417.845,736.549,0.1999999999998181
41,200x600,4414.925,736.649,4417.325,736.649,0.20000000000084128
42,200x600,4414.825,733.599,4414.825,737.049,0.2000000000016371
43,199x600,4411.925,737.169,4414.724,737.169,0.1999999999999318
44,200x600,4413.6,735.349,4413.6,737.049,0.2000000000016371
45,200x600,4412.625,735.249,4414.725,735.249,0.20000000000004547
46,400x600,4411.725,735.389,4412.225,735.389,0.40000000253348844
47,400x600,4412.425,732.509,4412.425,735.549,0.40000000048712536
48,400x600,4411.725,735.649,4411.725,737.899,0.4000000476562491
49,400x600,4412.72,732.509,4414.525,732.509,0.40000003239106263
50,400x600,4414.685,732.309,4414.685,733.1,0.400000047753565
51,399x600,4414.925,733.299,4417.725,733.299,0.3999999999998636
52,399x600,4417.925,733.299,4421.425,733.299,0.3999999999998636
53,200x600,4421.525,733.599,4421.525,736.149,0.2000000000007276
54,399x600,4421.625,733.299,4425.125,733.299,0.3999999999998636
55,399x600,4425.325,733.299,4428.125,733.299,0.3999999999998636
56,400x600,4431.325,735.649,4431.325,737.899,0.40000019074159354
57,400x600,4431.325,738.399,4431.325,740.599,0.40000019074159354
58,399x600,4411.725,738.399,4411.725,740.599,0.3999999999841748
